CCL,Floor,MinBuildingAge,BuildingNum,UnitNum,x,y,GFA,CLASS_NUM,TYPE_NUM,WIFIHK_NUM,POI_DIVERSITY,SMK_TYPE,RGD_TYPE,BUS_TYPE,MIN_TYPE,MAL_TYPE,CVS_TYPE,RCP_TYPE,CPO_TYPE,SGD_TYPE,PLG_TYPE,BAS_TYPE,CMC_TYPE,TOI_TYPE,POB_TYPE,KDG_TYPE,CHU_TYPE,PRS_TYPE,SES_TYPE,EES_TYPE,PAV_TYPE,LIB_TYPE,SMK_DIST,RGD_DIST,BUS_DIST,MIN_DIST,MAL_DIST,CVS_DIST,RCP_DIST,CPO_DIST,SGD_DIST,PLG_DIST,BAS_DIST,CMC_DIST,TOI_DIST,POB_DIST,KDG_DIST,CHU_DIST,PRS_DIST,SES_DIST,EES_DIST,PAV_DIST,LIB_DIST,New_price
188.68,2,29,1,112,837117,815005,1490,16,75,148,4.129683192,18,27,15,12,31,40,12,37,24,10,2,4,21,36,33,22,14,10,31,26,2,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,27.3
188.68,3,17,5,2020,841240,816232,688,15,66,95,4.054134674,14,21,11,6,11,24,28,28,10,9,8,9,12,19,63,32,9,5,14,33,5,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,10.4
188.68,1,49,1,160,835536,819202,705,15,78,326,4.028023779,31,40,9,15,42,95,26,29,11,10,9,8,21,35,40,57,16,10,46,31,4,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.35
188.68,3,26,3,784,838930,816897,672,15,65,94,4.086706529,14,19,14,5,13,35,11,37,4,13,7,6,11,18,47,25,14,12,21,19,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11
188.68,2,43,33,1515,831672,813713,1590,13,45,28,3.943817285,5,7,3,10,4,5,10,13,1,2,1,0,7,13,3,3,4,5,10,14,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,29.5
188.68,1,42,2,266,831829,816409,443,15,63,75,3.96527856,20,22,4,7,7,32,7,14,3,12,3,8,18,20,57,21,10,5,16,21,2,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,5.78
188.68,2,23,1,46,833842,815863,541,15,86,156,3.960976593,22,37,32,5,22,53,14,28,5,10,5,3,41,66,37,17,13,7,51,43,2,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,7.8
188.68,1,33,1,42,841767,815392,350,15,58,74,4.063966859,9,16,5,5,7,15,28,25,5,12,6,7,11,15,43,28,9,7,19,30,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.08
188.68,2,21,8,3098,843966,814140,727,14,40,23,3.99487748,3,8,4,3,3,7,12,13,10,4,4,5,5,6,17,8,4,8,17,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9.19
188.68,4,33,2,493,837775,815948,1276,16,63,114,4.123870333,18,31,17,14,30,42,10,33,15,8,7,5,19,29,55,23,12,16,30,31,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31
188.68,3,35,10,2180,840245,816272,717,16,65,75,3.993280582,12,21,11,4,6,27,15,31,10,4,7,5,12,20,54,20,9,5,13,34,3,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,8
188.68,1,37,1,84,832711,816246,401,15,67,105,4.055961813,27,34,6,6,11,36,13,22,6,16,8,8,33,34,60,24,19,9,32,36,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,6.38
188.68,8,41,27,4328,832173,813327,518,15,50,45,4.129279892,8,9,8,8,8,7,15,21,1,6,3,3,7,10,13,7,7,7,14,20,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,6.68
188.68,1,27,1,69,832648,816321,515,15,68,97,4.059768191,24,32,6,6,10,34,13,21,6,16,8,8,32,30,60,25,18,9,29,36,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,6.2
188.68,2,27,34,9812,833205,811583,947,16,55,64,4.128234831,10,11,11,9,11,13,11,25,8,4,6,6,8,8,24,11,7,3,9,32,3,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,14.37
188.68,7,35,4,351,816713,831461,1225,13,27,3,3.395797296,1,4,0,1,0,1,17,13,1,5,2,0,12,5,5,3,0,1,17,16,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,29.8
188.68,5,21,8,3098,843874,814228,721,14,40,26,4.01492852,4,8,4,3,3,7,12,17,10,5,4,7,6,7,17,8,4,8,19,32,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,8.7
188.68,2,36,14,2393,837975,816808,972,14,63,76,4.0133884,17,25,12,6,15,35,8,29,6,6,8,5,13,17,62,26,10,14,18,19,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,14.68
188.68,2,18,3,1177,831077,815996,802,15,54,36,3.94945251,9,21,4,5,2,17,4,10,7,6,7,6,12,9,31,12,6,0,18,28,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,14.5
188.68,4,28,2,651,833441,815848,1367,15,79,144,4.012754424,27,35,26,5,21,59,18,29,8,13,8,4,40,61,48,21,16,6,44,43,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,26.7
188.68,2,27,1,96,833396,816336,512,15,81,158,4.01581035,28,32,23,4,18,62,17,27,7,15,7,6,32,56,53,22,16,6,36,27,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.08
188.68,2,14,1,184,838822,817049,1306,15,64,91,4.086399594,14,19,13,4,13,32,11,32,4,11,7,6,9,16,45,23,12,10,21,18,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,27.6
188.68,7,33,1,104,837147,815187,590,16,77,154,4.155678775,20,27,17,11,31,43,10,40,26,12,6,6,23,37,30,23,13,11,36,26,2,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,8.5
188.68,1,40,3,240,837803,816605,314,14,61,72,4.023926642,14,25,10,3,14,31,8,25,13,7,8,3,14,19,61,26,9,14,23,26,2,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,4.09
188.68,6,43,2,160,835945,815526,441,16,89,228,3.922510618,14,34,19,6,24,54,9,60,5,13,6,6,20,41,17,23,6,5,24,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,5
188.68,1,39,2,304,842511,813542,676,16,66,80,4.07349937,12,16,4,9,8,15,22,29,10,7,6,8,12,15,28,16,6,8,29,41,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,5.85
188.68,9,1,1,264,832607,816498,250,15,68,97,4.087633722,22,31,5,6,10,33,13,20,6,16,8,8,31,29,51,23,18,9,25,33,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,6.79
188.68,1,1,1,264,832607,816498,252,15,68,97,4.087633722,22,31,5,6,10,33,13,20,6,16,8,8,31,29,51,23,18,9,25,33,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,6.84
188.68,9,1,1,264,832607,816498,282,15,68,97,4.087633722,22,31,5,6,10,33,13,20,6,16,8,8,31,29,51,23,18,9,25,33,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,7.68
188.68,2,33,18,976,815624,828943,1304,15,63,99,3.994815509,13,25,5,5,22,23,18,61,8,5,12,10,14,14,39,32,8,10,40,45,3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,30
188.68,1,1,1,264,832607,816498,250,15,68,97,4.087633722,22,31,5,6,10,33,13,20,6,16,8,8,31,29,51,23,18,9,25,33,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,7.16
188.68,1,1,1,264,832607,816498,253,15,68,97,4.087633722,22,31,5,6,10,33,13,20,6,16,8,8,31,29,51,23,18,9,25,33,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,7.23
188.68,7,35,10,2180,840327,816303,717,16,65,74,3.993465486,12,21,11,4,6,26,16,32,10,5,7,5,13,20,57,21,9,5,14,33,3,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,7.17
191.35,1,41,6,1320,834193,812381,502,16,65,109,4.155476094,9,18,7,16,9,16,18,20,7,6,5,8,11,13,31,24,9,8,22,35,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9
191.35,1,37,1,38,833724,816028,521,15,84,169,3.992836609,25,36,32,4,21,58,18,32,8,10,8,4,40,65,39,19,14,5,47,46,2,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,6.08
191.35,1,47,6,624,839965,816248,980,16,64,67,4.02469003,9,18,10,3,6,24,15,32,11,4,9,5,12,16,44,19,10,4,14,31,2,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,13.8
191.35,1,47,1,72,841768,815414,420,15,59,72,4.064414213,10,16,5,5,7,15,28,25,5,12,6,7,11,15,43,28,9,7,20,31,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.8
191.35,3,31,2,235,833349,815725,694,15,79,132,4.019415053,27,37,21,6,19,52,18,26,7,14,6,4,36,56,48,19,16,6,41,43,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,14.35
191.35,9,38,1,42,837069,814376,563,15,60,24,3.952819091,7,19,6,1,1,4,8,7,12,4,1,1,10,14,19,6,10,6,19,20,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,6.3
191.35,6,34,7,1960,834213,811562,604,17,67,106,4.18235535,10,19,13,17,11,17,20,26,9,5,8,10,12,14,37,21,10,7,26,32,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.6
191.35,3,33,1,93,833062,816193,836,15,79,124,4.056894739,29,36,16,6,14,51,15,23,7,19,8,6,33,48,57,22,18,9,34,31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,12
191.35,5,56,1,30,836804,815764,586,17,82,189,4.076127636,12,25,20,12,37,50,6,46,24,10,5,5,20,36,29,22,10,8,25,22,2,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,7.6
191.35,1,34,1,84,835730,815176,342,16,86,195,3.974560083,11,34,17,4,18,47,12,54,4,16,6,6,20,39,20,24,7,5,25,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,5.2
191.35,1,1,1,264,832607,816498,254,15,68,97,4.087633722,22,31,5,6,10,33,13,20,6,16,8,8,31,29,51,23,18,9,25,33,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,7.06
191.35,2,17,1,192,839226,816987,586,16,64,73,4.063431116,10,15,14,3,8,26,9,34,4,11,5,6,10,14,35,19,11,6,12,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,9.98
191.35,2,31,1,280,839682,816520,768,16,65,80,4.111780196,8,19,16,5,6,23,11,37,10,11,9,6,12,17,34,14,12,4,16,26,2,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,11
191.35,2,44,3,480,836731,815770,802,17,84,207,4.045069456,12,23,19,11,37,52,6,50,23,10,5,4,19,37,24,24,10,7,23,19,2,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,14
